trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4,early_close,margin_neutral_pts,margin_neutral_pct,margin_flip_pts,margin_flip_pct
1,46,2000-03-08,47,67,2000-03-09,2000-04-10,short,1667.45,1614.892857142857,1920.1785714285713,1614.892857142857,0.2079588491323276,52.557142857142935,SL,price_date,20.09999999999991,21.200000000000045,64.70000000000005,106.75,100.40000000000009,47.350000000000136,,,,,
2,138,2000-07-21,139,167,2000-07-24,2000-09-04,short,1397.05,1409.0485714285717,1490.8785714285714,1409.0485714285717,-0.1278775883069459,-11.998571428571722,SL,price_date,79.5,79.29999999999995,48.149999999999864,78.79999999999995,59.0,63.25,,,,,
3,264,2001-01-19,265,288,2001-01-22,2001-02-23,long,1329.3,1334.4571428571428,1255.65,1334.4571428571428,0.07002230627485205,5.157142857142844,SL,price_date,18.90000000000009,18.700000000000045,25.90000000000009,36.65000000000009,40.799999999999955,12.75,,,,,
4,342,2001-05-16,343,355,2001-05-17,2001-06-04,long,1151.2,1144.7392857142856,1097.272857142857,1144.7392857142856,-0.11980449813240258,-6.460714285714403,SL,price_time,23.799999999999955,23.75,21.59999999999991,18.25,16.889999999999873,27.889999999999873,,,,,
5,409,2001-08-20,410,421,2001-08-21,2001-09-06,long,1063.65,1036.3957142857143,1034.8314285714287,1036.3957142857143,-0.9457195260992425,-27.254285714285743,SL,price_time,4.9500000000000455,5.0499999999999545,7.849999999999909,5.5,8.899999999999864,7.0,,,,,
6,443,2001-10-09,444,491,2001-10-10,2001-12-20,long,915.5,1055.8221428571428,852.7071428571428,1055.8221428571428,2.2346831987259668,140.3221428571428,SL,price_time,27.649999999999977,24.850000000000023,39.39999999999998,44.89999999999998,47.89999999999998,55.75,,,,,
7,565,2002-04-08,566,587,2002-04-09,2002-05-09,short,1135.15,1126.202857142857,1180.344285714286,1126.202857142857,0.1979706663295016,8.947142857143035,SL,price_date,8.549999999999955,8.450000000000045,-3.349999999999909,-8.439999999999827,-11.349999999999909,1.0,,,,,
8,620,2002-06-25,621,668,2002-06-26,2002-09-02,short,1055.34,1015.755,1098.175714285714,1015.755,0.9241120560280146,39.58499999999992,SL,price_date,11.200000000000045,11.139999999999873,6.789999999999964,-2.4600000000000364,-13.610000000000127,-12.710000000000036,,,,,
9,756,2003-01-10,757,804,2003-01-13,2003-03-22,short,1080.25,1038.580714285714,1128.3514285714286,1038.580714285714,0.8662795877758341,41.669285714285934,SL,price_time,6.5,6.5,1.2999999999999545,-4.75,-8.089999999999918,-6.25,,,,,
10,848,2003-05-27,849,887,2003-05-28,2003-07-21,long,977.65,1122.402857142857,949.3785714285714,1122.402857142857,5.120111167256184,144.75285714285712,SL,price_time,13.949999999999932,13.149999999999977,24.950000000000045,29.149999999999977,37.5,33.0,,,,,
