trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4,early_close,margin_neutral_pts,margin_neutral_pct,margin_flip_pts,margin_flip_pct
11,935,2003-09-26,936,953,2003-09-29,2003-10-23,long,1386.9,1472.325,1277.4214285714286,1472.325,0.7802896848698365,85.42499999999995,SL,price_date,13.0,13.049999999999955,30.199999999999818,33.94999999999982,62.399999999999864,92.0,,,,,
12,1056,2004-03-19,1057,1065,2004-03-22,2004-04-01,short,1726.3,1807.3035714285716,1822.0142857142857,1807.3035714285716,-0.846305970149255,-81.0035714285716,SL,price_date,40.09999999999991,41.299999999999955,29.899999999999864,34.200000000000045,21.84999999999991,-21.200000000000045,,,,,
13,1192,2004-09-29,1193,1259,2004-09-30,2005-01-05,long,1728.3,2039.2735714285714,1647.6785714285713,2039.2735714285714,3.857207406751127,310.9735714285714,SL,price_time,17.549999999999955,17.200000000000045,46.850000000000136,77.35000000000014,84.15000000000009,66.60000000000014,,,,,
14,1367,2005-06-09,1368,1375,2005-06-10,2005-06-21,short,2103.44,2169.7428571428572,2169.7428571428572,2169.7428571428572,-1.0,-66.30285714285719,SL,price_time,12.590000000000146,12.840000000000146,0.75,-8.860000000000127,-25.159999999999854,-20.25,,,,,
15,1397,2005-07-21,1398,1439,2005-07-22,2005-09-22,long,2231.0,2489.562142857143,2157.305714285714,2489.562142857143,3.5085779087349267,258.56214285714304,SL,price_time,35.09999999999991,34.59999999999991,60.690000000000055,72.09999999999991,88.09999999999991,81.30000000000018,,,,,
16,1474,2005-11-16,1475,1574,2005-11-17,2006-04-12,long,2558.44,3375.921428571429,2465.887142857143,3375.921428571429,8.83258987142482,817.4814285714288,SL,price_time,21.210000000000036,45.460000000000036,61.559999999999945,44.059999999999945,14.360000000000127,50.159999999999854,,,,,
17,1707,2006-10-18,1708,1719,2006-10-19,2006-11-06,short,3711.1,3811.0178571428573,3825.7214285714285,3811.0178571428573,-0.871720570823209,-99.91785714285743,SL,price_time,32.84999999999991,33.29999999999973,34.25,27.59999999999991,53.79999999999973,33.54999999999973,,,,,
18,1795,2007-02-27,1796,1826,2007-02-28,2007-04-13,short,3893.4,3908.9357142857143,4134.975714285714,3908.9357142857143,-0.06430991762416964,-15.53571428571422,SL,price_date,148.5999999999999,148.0999999999999,82.20000000000027,166.6500000000001,316.9000000000001,237.75,,,,,
19,1913,2007-08-17,1914,1955,2007-08-20,2007-10-17,long,4108.95,5244.9464285714275,3769.8642857142854,5244.9464285714275,3.350174839905625,1135.9964285714277,SL,price_time,101.0,100.10000000000036,-34.04999999999973,44.19000000000051,6.0,81.19000000000051,,,,,
20,2027,2008-01-29,2028,2081,2008-01-30,2008-04-21,short,5283.75,5034.187857142857,6012.092857142858,5034.187857142857,0.3426437705946964,249.56214285714304,SL,price_date,113.19999999999982,116.14999999999964,146.30000000000018,-33.5,-179.75,-200.14999999999964,,,,,
21,2102,2008-05-22,2103,2146,2008-05-23,2008-07-23,short,5026.55,4307.019285714286,5310.892857142858,4307.019285714286,2.530503918810286,719.5307142857146,SL,price_date,78.89999999999964,80.0,151.5,166.75,108.19999999999982,191.25,,,,,
22,2175,2008-09-04,2176,2216,2008-09-05,2008-11-05,short,4444.7,3236.4328571428573,4714.411428571429,3236.4328571428573,4.479851481477554,1208.2671428571425,SL,price_date,95.44999999999982,92.39999999999964,-37.600000000000364,-24.0,44.44999999999982,154.39999999999964,,,,,
23,2309,2009-03-27,2310,2314,2009-03-30,2009-04-06,short,3108.75,3241.1535714285715,3290.2371428571428,3241.1535714285715,-0.7295479412158286,-132.40357142857147,SL,price_date,130.5,130.5999999999999,87.80000000000018,48.40000000000009,-102.30000000000018,-147.8499999999999,,,,,
24,2327,2009-04-28,2328,2339,2009-04-29,2009-05-18,long,3371.65,3856.4792857142857,3111.035714285714,3856.4792857142857,1.8603327303623292,484.82928571428556,SL,price_time,111.59999999999991,102.29999999999973,282.3499999999999,290.25,253.4000000000001,312.25,,,,,
25,2401,2009-08-12,2402,2451,2009-08-13,2009-10-27,long,4458.55,4901.86,4140.797142857144,4901.86,1.3951408776812178,443.3099999999995,SL,price_date,147.5,146.44999999999982,121.5,-70.65999999999985,0.3400000000001455,-64.44999999999982,,,,,
26,2534,2010-02-26,2535,2566,2010-03-02,2010-04-19,long,4935.6,5196.996428571429,4707.4457142857145,5196.996428571429,1.1457002780073615,261.39642857142826,SL,price_time,94.69999999999982,81.39999999999964,152.5,144.64999999999964,153.09999999999945,188.39999999999964,,,,,
27,2608,2010-06-16,2609,2662,2010-06-17,2010-08-31,long,5233.64,5386.6107142857145,5054.561428571429,5386.6107142857145,0.8542100434765271,152.97071428571417,SL,price_time,41.5,41.210000000000036,28.960000000000036,119.65999999999985,82.90999999999985,89.50999999999931,,,,,
28,2801,2011-03-21,2802,2829,2011-03-22,2011-05-03,long,5390.85,5668.25,5144.257142857143,5668.25,1.1249312052834306,277.39999999999964,SL,price_time,49.100000000000364,23.0,89.39999999999964,131.54999999999927,263.39999999999964,296.39999999999964,,,,,
29,2860,2011-06-15,2861,2867,2011-06-16,2011-06-24,short,5419.65,5458.837857142857,5621.614285714286,5458.837857142857,-0.1940335985853213,-39.187857142856956,SL,price_date,50.75,22.899999999999636,53.25,161.75,143.79999999999927,141.34999999999945,,,,,
30,2889,2011-07-26,2890,2917,2011-07-27,2011-09-07,short,5588.55,5122.219285714285,5875.035714285714,5122.219285714285,1.6277625411389305,466.33071428571475,SL,price_date,28.050000000000182,41.75,100.80000000000018,106.55000000000018,71.75,132.0,,,,,
31,3009,2012-01-19,3010,3034,2012-01-20,2012-02-27,long,5044.85,5378.914285714285,4851.070000000001,5378.914285714285,1.7239358329770111,334.0642857142848,SL,price_date,30.210000000000036,3.75,1.3999999999996362,82.5,113.44999999999982,159.84999999999945,,,,,
32,3060,2012-04-03,3061,3106,2012-04-04,2012-06-08,short,5328.65,5069.263571428572,5574.231428571428,5069.263571428572,1.0562135340620193,259.38642857142804,SL,price_time,35.600000000000364,5.75,94.25999999999931,85.04999999999927,101.79999999999927,51.79999999999927,,,,,
33,3146,2012-08-03,3147,3163,2012-08-06,2012-08-30,long,5260.85,5262.149285714286,5036.028571428572,5262.149285714286,0.005779189833199384,1.2992857142853609,SL,price_time,66.85000000000036,21.699999999999818,75.84999999999945,77.14999999999964,62.099999999999454,59.54999999999927,,,,,
34,3317,2013-04-12,3318,3344,2013-04-15,2013-05-23,long,5508.5,5960.446428571428,5344.5428571428565,5960.446428571428,2.7564912433562663,451.94642857142844,SL,price_time,39.849999999999454,59.899999999999636,180.44999999999982,180.19999999999982,274.60000000000036,325.89999999999964,,,,,
35,3463,2013-11-13,3464,3469,2013-11-14,2013-11-22,long,6037.0,5981.157142857143,5826.121428571429,5981.157142857143,-0.2648104867391505,-55.8428571428567,SL,price_time,66.54999999999927,19.149999999999636,152.0,166.35000000000036,85.89999999999964,-37.94999999999982,,,,,
36,3516,2014-01-29,3517,3535,2014-01-30,2014-02-25,short,6067.0,6212.0142857142855,6317.3,6212.0142857142855,-0.5793619085668613,-145.0142857142855,SL,price_date,46.55000000000018,-6.699999999999818,-22.5,65.19999999999982,66.10000000000036,44.600000000000364,,,,,
37,3575,2014-04-29,3576,3582,2014-04-30,2014-05-09,short,6724.95,6857.25,6916.992857142857,6857.25,-0.6889087257308636,-132.30000000000018,SL,price_date,18.850000000000364,28.550000000000182,30.149999999999636,25.599999999999454,9.649999999999636,72.39999999999964,,,,,
38,3646,2014-08-08,3647,3671,2014-08-11,2014-09-16,long,7619.85,7994.842857142857,7365.978571428572,7994.842857142857,1.4770975184288975,374.99285714285634,SL,price_date,57.399999999999636,6.099999999999454,107.19999999999982,119.69999999999982,171.84999999999945,254.39999999999964,,,,,
39,3846,2015-06-08,3847,3856,2015-06-09,2015-06-22,short,8026.5,8298.711428571429,8327.687142857143,8298.711428571429,-0.9037949827112712,-272.21142857142877,SL,price_time,21.700000000000728,4.100000000000364,-97.89999999999964,61.19999999999982,43.600000000000364,12.600000000000364,,,,,
40,3899,2015-08-20,3900,3928,2015-08-21,2015-10-05,short,8305.4,8117.595,8709.201428571429,8117.595,0.4650924605799861,187.80499999999938,SL,price_date,72.79999999999927,5.449999999998909,496.39999999999964,424.6999999999998,513.5499999999993,356.4499999999998,,,,,
41,4063,2016-04-26,4064,4069,2016-04-27,2016-05-04,long,7942.0,7699.635714285714,7634.335714285715,7699.635714285714,-0.7877556706057178,-242.36428571428587,SL,price_date,17.25,37.899999999999636,-94.75,-92.19999999999982,-136.10000000000036,-195.0,,,,,
42,4200,2016-11-11,4201,4234,2016-11-15,2016-12-30,short,8284.85,8151.271428571428,8722.628571428571,8151.271428571428,0.30512816329194653,133.5785714285721,SL,price_time,187.84999999999945,176.40000000000055,173.25,204.90000000000055,210.75,355.75,,,,,
43,4250,2017-01-23,4251,4307,2017-01-24,2017-04-19,long,8407.04,9076.117142857145,8197.025714285715,9076.117142857145,3.1858649071491834,669.0771428571443,SL,price_date,84.29999999999927,68.7599999999984,195.70999999999913,234.20999999999913,225.70999999999913,154.2599999999984,,,,,
44,4348,2017-06-16,4349,4354,2017-06-19,2017-06-27,long,9626.4,9485.463571428572,9455.225714285714,9485.463571428572,-0.8233504698636254,-140.9364285714273,SL,price_date,69.5,31.149999999999636,27.100000000000364,7.200000000000728,3.600000000000364,-51.44999999999891,,,,,
45,4398,2017-08-30,4399,4416,2017-08-31,2017-09-25,long,9905.7,9929.943571428572,9646.437142857145,9929.943571428572,0.09350962068281443,24.24357142857116,SL,price_time,33.5,12.199999999998909,68.69999999999891,7.149999999999636,46.5,10.5,,,,,
46,4540,2018-03-26,4541,4577,2018-03-27,2018-05-21,long,10188.0,10562.507142857143,9704.64142857143,10562.507142857143,0.7748019068955055,374.50714285714275,SL,price_time,53.5,-3.850000000000364,-74.29999999999927,23.799999999999272,57.0,-59.600000000000364,,,,,
47,4723,2018-12-21,4724,4752,2018-12-24,2019-02-01,short,10780.9,10976.242857142859,11232.028571428571,10976.242857142859,-0.4330092783178746,-195.34285714285943,SL,price_time,90.5,117.39999999999964,51.04999999999927,1.1000000000003638,-79.0,-81.64999999999964,,,,,
48,4905,2019-09-19,4906,4906,2019-09-20,2019-09-20,long,10746.8,10748.953571428572,10401.114285714286,10748.953571428572,0.006229853706922002,2.153571428572832,SL,price_time,569.4000000000015,527.4000000000015,853.4000000000015,841.4000000000015,693.4000000000015,824.4000000000015,,,,,
49,5014,2020-02-26,5015,5054,2020-02-27,2020-04-29,short,11661.25,9568.722857142857,12038.607142857143,9568.722857142857,5.5452167329169,2092.527142857143,SL,price_time,45.20000000000073,27.950000000000728,459.5,528.5,357.9500000000007,410.25,,,,,
50,5096,2020-06-30,5097,5145,2020-07-01,2020-09-07,long,10323.79,11296.985714285714,9829.142857142857,11296.985714285714,1.9674544336077897,973.1957142857136,SL,price_time,127.94000000000051,106.25,227.90999999999985,283.5599999999995,439.85999999999876,475.85999999999876,,,,,
51,5186,2020-11-04,5187,5218,2020-11-05,2020-12-21,long,12062.4,13357.082142857142,11425.214285714286,13357.082142857142,2.031875658587989,1294.682142857142,SL,price_date,211.79999999999927,57.899999999999636,201.14999999999964,398.64999999999964,568.7000000000007,686.75,,,,,
52,5294,2021-04-13,5295,5339,2021-04-15,2021-06-18,long,14522.4,15453.117857142857,13742.335714285713,15453.117857142857,1.1931296871136987,930.7178571428576,SL,price_time,76.65000000000146,59.05000000000109,95.45000000000073,-162.9499999999989,-226.0,-116.25,,,,,
53,5356,2021-07-13,5357,5366,2021-07-14,2021-07-28,long,15808.7,15570.107142857143,15499.75,15570.107142857143,-0.7722701315515683,-238.5928571428576,SL,price_date,41.600000000000364,45.25,115.5,114.69999999999891,-56.30000000000109,-176.60000000000036,,,,,
54,5515,2022-03-03,5516,5525,2022-03-04,2022-03-17,short,16339.45,17005.97857142857,17526.52142857143,17005.97857142857,-0.5614898610024672,-666.528571428571,SL,price_date,252.6999999999989,94.10000000000036,476.3000000000011,326.0,-5.899999999999636,-255.45000000000073,,,,,
55,5617,2022-07-29,5618,5632,2022-08-01,2022-08-23,long,17243.2,17402.93571428571,16622.8,17402.93571428571,0.2574721377912806,159.73571428571086,SL,price_time,181.79999999999927,96.84999999999854,102.25,144.95000000000073,138.79999999999927,154.29999999999927,,,,,
56,5763,2023-03-01,5764,5786,2023-03-02,2023-04-06,short,17421.5,17588.942857142858,17806.171428571426,17588.942857142858,-0.4352880008913037,-167.44285714285797,SL,price_time,129.0,99.59999999999854,-172.84999999999854,-289.9500000000007,-332.90000000000146,-168.09999999999854,,,,,
57,5929,2023-11-03,5930,5981,2023-11-06,2024-01-18,long,19345.85,21537.692857142858,18841.407142857144,21537.692857142858,4.345076605023959,2191.8428571428594,SL,price_date,181.15000000000146,65.90000000000146,60.85000000000218,97.65000000000146,49.45000000000073,79.5,,,,,
58,6039,2024-04-15,6040,6048,2024-04-16,2024-04-29,short,22125.3,22645.992857142854,22844.985714285714,22645.992857142854,-0.7235003374488815,-520.6928571428543,SL,price_date,124.59999999999854,-22.600000000002183,129.45000000000073,-21.700000000000728,-211.10000000000218,-242.70000000000073,,,,,
59,6241,2025-02-03,6242,6248,2025-02-04,2025-02-12,long,23509.9,22915.664285714287,22704.835714285717,22915.664285714287,-0.7381220665607904,-594.2357142857145,SL,price_time,378.2000000000007,229.34999999999854,186.39999999999782,93.44999999999709,50.04999999999927,-128.3000000000029,,,,,
60,6352,2025-07-17,6353,6373,2025-07-18,2025-08-18,short,25108.55,25006.242857142857,25550.214285714283,25006.242857142857,0.23164006274966378,102.30714285714203,SL,price_time,143.04999999999927,140.14999999999782,17.849999999998545,47.64999999999782,-111.35000000000218,46.45000000000073,,,,,
61,6449,2025-12-08,6450,6468,2025-12-09,2026-01-05,short,25867.1,26372.175,26583.407142857144,26372.175,-0.7051095400017932,-505.0750000000007,SL,price_time,120.89999999999782,27.44999999999709,109.09999999999854,-31.450000000000728,-179.85000000000218,-160.20000000000073,,,,,
